epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.04595,2.29255,2.78726,2.71588,0,0,0,0,1.94698,3.24046,3.81996,0,0,0
2,2.67151,1.75186,2.82285,2.38104,0,0,0,0,1.93362,3.26034,3.84003,1.9604e-05,1.9604e-05,1.9604e-05
3,3.29014,1.48625,3.049,1.94441,0,0,0,0,1.93934,3.30393,3.85174,3.8416e-05,3.8416e-05,3.8416e-05
4,3.82081,1.93798,2.67328,2.24389,0,0,0,0,1.97167,3.27895,3.92911,5.6436e-05,5.6436e-05,5.6436e-05
5,4.52754,1.87728,2.80806,2.40187,0,0,0,0,2.02027,3.23667,3.58992,7.3664e-05,7.3664e-05,7.3664e-05
6,5.36727,1.905,2.95077,2.31027,0,0,0,0,2.02282,3.22744,3.6185,9.01e-05,9.01e-05,9.01e-05
7,6.13599,1.92241,3.27951,2.46832,0,0,0,0,2.03315,3.23102,3.64978,0.000105744,0.000105744,0.000105744
8,7.11467,1.54429,3.11364,2.2564,0,0,0,0,1.99923,3.33775,3.53662,0.000120596,0.000120596,0.000120596
9,7.99591,1.97167,2.74458,2.31185,0,0,0,0,1.83146,3.40898,3.46291,0.000134656,0.000134656,0.000134656
10,8.78744,1.47675,2.70856,1.96091,0,0,0,0,1.76864,3.26931,3.0382,0.000147924,0.000147924,0.000147924
11,9.55687,1.51637,2.36791,1.88099,0,0,0,0,1.71957,3.47856,2.97897,0.0001604,0.0001604,0.0001604
12,10.375,1.60641,2.2646,1.93445,0,0,0,0,1.69525,3.47036,2.94239,0.000172084,0.000172084,0.000172084
13,11.1775,1.63921,2.52233,1.92996,0,0,0,0,1.82767,3.31701,3.20522,0.000182976,0.000182976,0.000182976
14,12.2222,1.82157,2.46188,2.3158,0,0,0,0,1.86581,3.27637,3.08505,0.000193076,0.000193076,0.000193076
15,13.0475,1.74701,2.62063,2.10381,0,0,0,0,1.9049,3.2196,3.02042,0.000202384,0.000202384,0.000202384
16,13.8196,1.63563,1.9695,1.90798,0,0,0,0,1.86842,3.19098,3.10971,0.0002109,0.0002109,0.0002109
17,14.8192,1.88603,2.28766,2.02988,0,0,0,0,1.96599,3.44661,3.0768,0.000218624,0.000218624,0.000218624
18,15.8158,1.58175,2.17871,1.91784,0,0,0,0,1.96599,3.44661,3.0768,0.000225556,0.000225556,0.000225556
19,16.7018,1.53516,1.95627,1.94766,0,0,0,0,1.9237,3.30799,2.90095,0.000231696,0.000231696,0.000231696
20,17.6911,1.74277,1.95666,1.91654,0,0,0,0,1.9237,3.30799,2.90095,0.000237044,0.000237044,0.000237044
21,18.4961,1.4446,1.90446,1.88689,0,0,0,0,1.65095,3.3813,2.47096,0.0002416,0.0002416,0.0002416
22,19.2666,1.45407,1.65154,1.72623,0,0,0,0,1.65095,3.3813,2.47096,0.000245364,0.000245364,0.000245364
23,20.1681,1.44267,1.56498,1.74459,0,0,0,0,1.61944,3.44366,2.70102,0.000248336,0.000248336,0.000248336
24,21.4832,1.52581,2.24441,1.97038,0,0,0,0,1.61944,3.44366,2.70102,0.000250516,0.000250516,0.000250516
25,22.7971,1.59944,1.79898,1.80037,0,0,0,0,1.82213,3.326,2.81975,0.000251904,0.000251904,0.000251904
26,23.8953,1.71163,1.90699,1.87896,0,0,0,0,1.82213,3.326,2.81975,0.0002525,0.0002525,0.0002525
27,24.8805,1.61051,1.74655,1.69586,0,0,0,0,1.7165,3.19767,2.83422,0.000252304,0.000252304,0.000252304
28,25.9016,1.02049,1.71531,1.63569,0,0,0,0,1.7165,3.19767,2.83422,0.000251316,0.000251316,0.000251316
29,26.8776,1.4069,1.61153,1.63637,0,0,0,0,1.75359,3.19962,2.86693,0.000249536,0.000249536,0.000249536
30,27.949,1.35861,1.80193,1.73348,0,0,0,0,1.75359,3.19962,2.86693,0.000246964,0.000246964,0.000246964
31,29.5386,1.30986,2.13705,1.78571,0,0,0,0,1.76331,3.1497,2.83621,0.0002436,0.0002436,0.0002436
32,30.6335,1.43306,2.21647,1.85323,0,0,0,0,1.76331,3.1497,2.83621,0.000239444,0.000239444,0.000239444
33,31.5422,1.53887,2.05384,1.91503,0,0,0,0,1.6586,3.11595,2.75355,0.000234496,0.000234496,0.000234496
34,32.3803,1.43858,1.81066,1.76215,0,0,0,0,1.6586,3.11595,2.75355,0.000228756,0.000228756,0.000228756
35,33.2346,1.18355,1.69964,1.67138,0,0,0,0,1.61737,3.08489,2.63036,0.000222224,0.000222224,0.000222224
36,33.9859,1.6811,2.05272,2.05556,0,0,0,0,1.61737,3.08489,2.63036,0.0002149,0.0002149,0.0002149
37,34.8595,1.36305,1.49164,1.55858,0,0,0,0,1.45965,3.07865,2.36412,0.000206784,0.000206784,0.000206784
38,35.6821,1.39751,1.64882,1.68259,0,0,0,0,1.45965,3.07865,2.36412,0.000197876,0.000197876,0.000197876
39,36.5584,1.09588,1.5144,1.52113,0,0,0,0,1.32678,3.03272,2.20543,0.000188176,0.000188176,0.000188176
40,37.49,1.21226,1.51783,1.53219,0,0,0,0,1.32678,3.03272,2.20543,0.000177684,0.000177684,0.000177684
41,45.8474,1.30203,2.58499,2.03242,0,0,0,0,1.20082,2.90213,2.07177,0.0001664,0.0001664,0.0001664
42,46.824,1.15949,2.57682,1.81943,0,0,0,0,1.20082,2.90213,2.07177,0.000154324,0.000154324,0.000154324
43,47.8772,1.55591,2.55144,2.40562,0,0,0,0,1.15353,2.77307,1.99408,0.000141456,0.000141456,0.000141456
44,48.6478,1.30608,2.47039,1.91603,0,0,0,0,1.15353,2.77307,1.99408,0.000127796,0.000127796,0.000127796
45,49.3394,1.1213,2.34009,1.67998,0,0,0,0,1.06986,2.70302,1.84665,0.000113344,0.000113344,0.000113344
46,50.0078,1.32889,2.47483,2.04184,0,0,0,0,1.06986,2.70302,1.84665,9.81e-05,9.81e-05,9.81e-05
47,50.7666,1.01001,2.16982,1.45801,0,0,0,0,1.00881,2.6652,1.82294,8.2064e-05,8.2064e-05,8.2064e-05
48,51.4333,1.10287,2.3912,1.72376,0,0,0,0,1.00881,2.6652,1.82294,6.5236e-05,6.5236e-05,6.5236e-05
49,52.1501,1.28016,2.52328,1.83671,0,0,0,0,0.99686,2.6441,1.824,4.7616e-05,4.7616e-05,4.7616e-05
50,52.848,1.38364,2.47419,2.16495,0,0,0,0,0.99686,2.6441,1.824,2.9204e-05,2.9204e-05,2.9204e-05
1,2.5459,0.84725,2.56868,1.34275,0,0,0,0,0.76767,3.01799,1.4545,0,0,0
2,3.21057,1.09829,2.96601,1.59544,0,0,0,0,0.78637,3.0234,1.47356,1.9604e-05,1.9604e-05,1.9604e-05
3,3.83736,1.04802,2.72801,1.55991,0,0,0,0,0.80186,3.03243,1.48686,3.8416e-05,3.8416e-05,3.8416e-05
4,4.40531,0.92994,2.72186,1.5321,0,0,0,0,0.82062,3.04285,1.50192,5.6436e-05,5.6436e-05,5.6436e-05
5,4.90955,0.93645,2.68218,1.39212,0,0,0,0,0.83453,3.05279,1.52898,7.3664e-05,7.3664e-05,7.3664e-05
6,5.50738,0.91587,2.57802,1.39437,0,0,0,0,0.61443,2.96155,1.29574,9.01e-05,9.01e-05,9.01e-05
7,6.23443,0.81842,2.87497,1.51313,0,0,0,0,0.5801,2.96212,1.19441,0.000105744,0.000105744,0.000105744
8,7.02226,0.71123,2.48772,1.26596,0,0,0,0,0.64116,2.91129,1.22987,0.000120596,0.000120596,0.000120596
9,7.99256,0.82049,2.17829,1.30547,0,0,0,0,0.69876,2.92894,1.23976,0.000134656,0.000134656,0.000134656
10,8.92108,0.79022,1.97351,1.31089,0,0,0,0,0.57295,2.85456,1.2089,0.000147924,0.000147924,0.000147924
11,9.8129,0.69489,1.7971,1.15955,0,0,0,0,0.59326,2.8176,1.22016,0.0001604,0.0001604,0.0001604
12,10.7104,0.79451,1.68153,1.19436,0,0,0,0,0.58909,2.72405,1.23207,0.000172084,0.000172084,0.000172084
13,11.4713,0.67814,1.51938,1.12126,0,0,0,0,0.60129,2.63259,1.23771,0.000182976,0.000182976,0.000182976
14,12.2072,0.68387,1.37039,1.21753,1,0.33333,0.66665,0.59999,0.63345,2.62296,1.2037,0.000193076,0.000193076,0.000193076
15,12.9409,0.63019,1.14109,1.10448,1,0.33333,0.66665,0.59999,0.61907,2.59537,1.18371,0.000202384,0.000202384,0.000202384
16,13.7246,0.60951,1.30387,1.22622,1,0.33333,0.66665,0.59999,0.71463,2.58747,1.26049,0.0002109,0.0002109,0.0002109
17,14.5277,0.72326,1.03953,1.14954,0,0,0,0,0.83169,2.69816,1.33391,0.000218624,0.000218624,0.000218624
18,15.1833,0.79763,1.07997,1.22137,0,0,0,0,0.83169,2.69816,1.33391,0.000225556,0.000225556,0.000225556
19,15.9613,0.53191,0.97024,1.01649,0,0,0,0,0.85819,2.76336,1.37399,0.000231696,0.000231696,0.000231696
20,16.6255,0.58786,0.98608,1.13751,0,0,0,0,0.85819,2.76336,1.37399,0.000237044,0.000237044,0.000237044
21,17.5896,0.63697,0.94209,1.07327,0,0,0,0,0.74928,2.8243,1.33978,0.0002416,0.0002416,0.0002416
22,18.2934,0.57859,0.95504,1.11644,0,0,0,0,0.74928,2.8243,1.33978,0.000245364,0.000245364,0.000245364
23,19.1844,0.55076,1.08419,1.08131,0,0,0,0,0.70525,2.81731,1.21905,0.000248336,0.000248336,0.000248336
24,19.8944,0.70571,1.10504,1.25437,0,0,0,0,0.70525,2.81731,1.21905,0.000250516,0.000250516,0.000250516
25,20.679,0.56754,1.03745,1.03715,0,0,0,0,0.71112,2.70905,1.24181,0.000251904,0.000251904,0.000251904
26,21.3493,0.51777,0.95486,1.12907,0,0,0,0,0.71112,2.70905,1.24181,0.0002525,0.0002525,0.0002525
27,22.1306,0.67658,1.01428,1.19218,0,0,0,0,0.66912,2.50087,1.17517,0.000252304,0.000252304,0.000252304
28,22.8309,0.54869,1.24327,1.06583,0,0,0,0,0.66912,2.50087,1.17517,0.000251316,0.000251316,0.000251316
29,23.7248,0.51916,0.88058,1.06446,1,0.66667,0.8333,0.7668,0.57312,2.2987,1.12959,0.000249536,0.000249536,0.000249536
30,24.5796,0.48177,0.84026,0.9969,1,0.66667,0.8333,0.7668,0.57312,2.2987,1.12959,0.000246964,0.000246964,0.000246964
31,25.3933,0.4916,0.88671,1.02128,1,1,0.995,0.96222,0.50425,2.13837,1.07672,0.0002436,0.0002436,0.0002436
32,26.2961,0.53866,0.86188,1.01734,1,1,0.995,0.96222,0.50425,2.13837,1.07672,0.000239444,0.000239444,0.000239444
33,27.0634,0.52758,0.96929,1.03772,1,1,0.995,0.94006,0.4865,2.02974,1.03524,0.000234496,0.000234496,0.000234496
34,27.7845,0.53218,0.94254,1.00943,1,1,0.995,0.94006,0.4865,2.02974,1.03524,0.000228756,0.000228756,0.000228756
